"NationID","NationName","RegionCount","GDP","Population","MilTech","Democracy","Cohesion","Unrest","Knowledge","Inequality","ClimatePolicy","BoostHistoryLatest","BoostPerCP","CP_ID"
"3638","Russia",,"3871449649385.64",,,"2.339846","5.412551","0.3306579",,"3.738943",,"2.991228","0.747807","3640"
"3671","Slovakia",,"277167289824.745",,,"9.020844","9.299997","0.0",,"1.51396",,"4.575011","2.2875055","3672"
"3280","Burkina Faso",,"62880589877.7838",,,"1.884317","4.370133","3.712726",,"4.463827",,"0.4883334","0.4883334","3281"
"3519","Mexico",,"2790860237934.22",,,"7.011342","5.003731","2.508811",,"3.8934",,"6.35499","1.5887475","3522"
"3519","Mexico",,"2790860237934.22",,,"7.011342","5.003731","2.508811",,"3.8934",,"6.35499","1.5887475","42823"
"3709","Sweden",,"696667053341.568",,,"4.959525","9.077415","0.0",,"1.513518",,"0.4404662","0.1468220666666666666666666667","3710"
"3709","Sweden",,"696667053341.568",,,"4.959525","9.077415","0.0",,"1.513518",,"0.4404662","0.1468220666666666666666666667","3711"
"3444","Ireland",,"651462363392.039",,,"8.479605","10.0","0.0",,"2.072146",,"0.2933333","0.0977777666666666666666666667","20967"
"3638","Russia",,"3871449649385.64",,,"2.339846","5.412551","0.3306579",,"3.738943",,"2.991228","0.747807","3639"
"3687","South Sudan",,"83337506453.1059",,,"0.2523207","10.0","7.666019E-05",,"3.494388",,"0.2850001","0.14250005","98546"
"3611","Ratnakaran States",,"12601479754.5916",,,"3.994786","2.921037","4.836615",,"2.902134",,"1.12237","1.12237","3612"
"3537","Myanmar",,"466208421762.357",,,"1.078714","9.981895","0.0",,"3.183896",,"1.588212","0.794106","3538"
"3286","Cambodia",,"230717795385.687",,,"2.542281","10.0","0.0",,"3.540746",,"3.283586","1.641793","15785"
"3709","Sweden",,"696667053341.568",,,"4.959525","9.077415","0.0",,"1.513518",,"0.4404662","0.1468220666666666666666666667","11922"
"3584","Papua New Guinea",,"64836652785.0835",,,"6.95015","8.570494","0.0",,"3.664231",,"1.749998","1.749998","3585"
