"templateName","displayName","FactionID","Money","Influence","Operations","Boost","Water","Volatiles","Metals","NobleMetals","Fissiles","Exotics"
"ResistCouncil","the Resistance","4089","46270.14","7593.665","2385.334","3611.707","78990.01","75556.5","145336.0","11894.3","23203.31","28.2372"
"DestroyCouncil","Humanity First","4090","105178.3","17.75035","5.849398","3575.092","12213.01","19215.88","30246.61","8681.792","1842.136","2.390921"
"ExploitCouncil","the Initiative","4091","53171.39","0.6218033","11.01962","4461.609","22905.66","15045.41","73104.97","17156.37","0.04648717","0.0"
"SubmitCouncil","the Servants","4092","21444.44","0.09729958","19.27671","3432.64","38227.62","28415.96","14376.42","917.5551","2691.458","40.0"
"AppeaseCouncil","the Protectorate","4093","25883.79","0.6932297","121.7173","2618.191","38407.55","14242.95","9439.38","1711.551","1548.847","0.0"
"CooperateCouncil","the Academy","4094","48746.66","743.2468","14.09992","2650.942","784.7589","11070.04","3185.446","1319.219","133.595","0.0"
"EscapeCouncil","Project Exodus","4095","46921.51","0.808672","5.296967","4363.966","38663.74","60449.89","37150.5","11031.23","0.0","0.0"
"AlienCouncil","the Aliens","4096","2841.639","6.639412","52.90491","38.48159","233675.5","311745.8","252903.3","30143.81","16698.93","355.576"
