"Faction","Humanity First","the Resistance","Project Exodus","the Initiative","the Academy","the Protectorate","the Servants"
"Humanity First","","0","12.452","12.732","12.55","98.214","436.874"
"the Resistance","12.651","","0","11.594","3.182","25.908","136.174"
"Project Exodus","11.212","0","","24.788","71.981","0","195.902"
"the Initiative","6.369","0","30.341","","39.739","81.627","171.032"
"the Academy","32.608","0","0","10.533","","0","141.816"
"the Protectorate","93.862","219.588","0","48.426","12.268","","0"
"the Servants","692.524","169.472","121.059","303.416","4.767","28.201",""
