"FactionID","FactionTemplate","FactionName","TotalCPs","TotalGDP","TotalPopulation"
"4089","ResistCouncil","the Resistance","26","318898333692476","0"
"4090","DestroyCouncil","Humanity First","39","68799393618725","0"
"4091","ExploitCouncil","the Initiative","58","72069328365500","0"
"4092","SubmitCouncil","the Servants","65","108630672764107","0"
"4093","AppeaseCouncil","the Protectorate","48","71201382887422.9","0"
"4094","CooperateCouncil","the Academy","36","51609361633638.8","0"
"4095","EscapeCouncil","Project Exodus","46","43916634245854.4","0"
