"FactionID","FactionTemplate","FactionName","SiteCount","WaterPerDay","VolatilesPerDay","MetalsPerDay","NoblesPerDay","FissilesPerDay"
"4089","ResistCouncil","the Resistance","25","29.503418","31.754045","62.090377","11.999687","4.700023"
"4090","DestroyCouncil","Humanity First","20","12.164438","19.206629","30.85233","7.476227","1.313829"
"4091","ExploitCouncil","the Initiative","18","11.975641","8.319934","26.485983","6.328981","0.075131"
"4092","SubmitCouncil","the Servants","17","27.923177","26.79733","16.56817","2.144769","0.996859"
"4093","AppeaseCouncil","the Protectorate","16","19.34089","18.911565","17.56177","2.260594","0.828705"
"4094","CooperateCouncil","the Academy","12","13.437487","16.09186","12.222119","2.400521","0.514101"
"4095","EscapeCouncil","Project Exodus","25","32.574177","39.319087","26.881386","6.423091","0.239772"
"4096","AlienCouncil","the Aliens","13","42.418287","40.501056","36.362092","6.218219","1.236536"
